range,bubble,insertion,selection,merge
5000,0.064576,0.032930,0.034984,0.002375
10000,0.288424,0.130884,0.140458,0.004640
15000,0.706896,0.309856,0.322278,0.007254
20000,1.302251,0.545441,0.572763,0.010108
25000,2.041668,0.860132,0.891838,0.012584
30000,2.990949,1.230501,1.293974,0.015181
35000,4.272039,1.779745,1.783497,0.019463
40000,5.133671,2.056726,2.243476,0.019525
45000,6.747191,2.727262,2.881800,0.022829
50000,8.086726,3.204040,3.511341,0.023872
55000,9.685089,3.727008,4.197621,0.025227
60000,11.191284,4.290231,4.918278,0.025785
65000,13.075756,5.006730,5.747157,0.027707
70000,15.215589,5.804814,6.661134,0.031481
75000,17.475585,6.647409,7.646381,0.032988
80000,19.921489,7.578437,8.699988,0.035446
85000,22.568119,8.563791,9.824712,0.037844
90000,25.310467,9.603188,11.017512,0.039678
95000,28.248335,10.678544,12.259502,0.042408
100000,31.308411,11.830814,13.573745,0.044869
