range,bubble,insertion,selection,merge
5000,0.062990,0.031193,0.034848,0.002120
5000,0.060374,0.029646,0.034474,0.002045
5000,0.068646,0.037242,0.034624,0.002035
5000,0.065757,0.033758,0.034085,0.001972
5000,0.061991,0.032653,0.034070,0.003321
5000,0.065778,0.029836,0.034508,0.002073
5000,0.061680,0.034203,0.035765,0.002032
5000,0.064748,0.031015,0.035177,0.003264
5000,0.061948,0.030342,0.034395,0.001983
5000,0.062013,0.033087,0.035598,0.002013
5000,0.063272,0.032761,0.035076,0.003038
5000,0.074688,0.033336,0.034987,0.001993
5000,0.064214,0.032511,0.034521,0.003161
5000,0.063116,0.035326,0.033824,0.002019
5000,0.065115,0.034122,0.034965,0.002055
5000,0.063590,0.030685,0.034653,0.002057
5000,0.060643,0.031638,0.034398,0.002771
5000,0.065744,0.030720,0.034574,0.002010
5000,0.059247,0.033145,0.034795,0.002014
5000,0.061186,0.032066,0.034005,0.003147
5000,0.064948,0.029259,0.035894,0.002061
5000,0.062452,0.032520,0.034771,0.002039
5000,0.061038,0.031782,0.033899,0.002066
5000,0.065418,0.031256,0.034625,0.002062
5000,0.060657,0.032455,0.035451,0.002022
5000,0.060045,0.036483,0.034003,0.003249
5000,0.063480,0.029604,0.034657,0.002155
5000,0.061019,0.033434,0.035891,0.002047
5000,0.060143,0.033017,0.033926,0.002494
5000,0.068241,0.034976,0.037034,0.003379
5000,0.073427,0.041081,0.036669,0.003193
5000,0.078448,0.038529,0.037730,0.003317
5000,0.076788,0.043074,0.035978,0.002059
5000,0.068944,0.031391,0.033837,0.002362
5000,0.062465,0.030543,0.035086,0.002041
5000,0.062622,0.029627,0.035837,0.002036
5000,0.071904,0.030430,0.036361,0.002077
5000,0.065251,0.033122,0.035244,0.002027
5000,0.064225,0.035584,0.037620,0.002809
5000,0.073380,0.033387,0.035491,0.002394
5000,0.060935,0.032232,0.033980,0.003099
5000,0.063142,0.030312,0.035279,0.002004
5000,0.062368,0.034621,0.035360,0.002171
5000,0.062473,0.034343,0.034258,0.002319
5000,0.063666,0.030989,0.034364,0.002113
5000,0.067823,0.032643,0.034448,0.002107
5000,0.058567,0.034011,0.034639,0.003136
5000,0.062735,0.031518,0.034546,0.002015
5000,0.063070,0.032156,0.034966,0.002064
5000,0.062407,0.032851,0.033993,0.002701
10000,0.279137,0.125173,0.139213,0.004483
10000,0.277094,0.127755,0.139676,0.005284
10000,0.284607,0.122267,0.139383,0.004081
10000,0.285860,0.122988,0.138545,0.004191
10000,0.285554,0.124333,0.140172,0.004231
10000,0.291040,0.125243,0.143255,0.006089
10000,0.284997,0.151710,0.138976,0.006395
10000,0.302656,0.154330,0.138513,0.004618
10000,0.281792,0.128031,0.139103,0.004183
10000,0.291371,0.125280,0.139278,0.005159
10000,0.286043,0.129002,0.139239,0.005175
10000,0.313396,0.129620,0.148738,0.004173
10000,0.279400,0.125888,0.138548,0.004130
10000,0.282476,0.126338,0.146217,0.004403
10000,0.300734,0.140087,0.141602,0.004210
10000,0.287025,0.163967,0.150107,0.005447
10000,0.308691,0.127559,0.141464,0.004205
10000,0.287212,0.151055,0.142158,0.004149
10000,0.279560,0.127438,0.140901,0.004093
10000,0.293839,0.129132,0.139794,0.005680
10000,0.277499,0.123334,0.140661,0.004507
10000,0.293559,0.127991,0.139475,0.004413
10000,0.283068,0.130450,0.142169,0.004368
10000,0.280440,0.143077,0.139561,0.005090
10000,0.285835,0.126919,0.139435,0.004078
10000,0.278382,0.129588,0.139065,0.004097
10000,0.278329,0.130650,0.139151,0.004080
10000,0.284371,0.123631,0.138259,0.005565
10000,0.288125,0.129952,0.138851,0.005476
10000,0.281642,0.132897,0.139440,0.004074
10000,0.287025,0.127904,0.139960,0.004385
10000,0.290035,0.147628,0.141764,0.004236
10000,0.289576,0.125257,0.141699,0.004250
10000,0.304850,0.126348,0.141847,0.004821
10000,0.280683,0.124397,0.138854,0.004145
10000,0.291256,0.133205,0.140362,0.004082
10000,0.275676,0.128904,0.139666,0.004173
10000,0.295533,0.132364,0.140815,0.004305
10000,0.289254,0.141673,0.139587,0.006589
10000,0.281243,0.126347,0.139981,0.004080
10000,0.295947,0.125512,0.139023,0.004163
10000,0.281331,0.126751,0.142838,0.006051
10000,0.300353,0.123164,0.140728,0.004160
10000,0.283244,0.126033,0.138187,0.005214
10000,0.296053,0.134554,0.140423,0.004344
10000,0.280669,0.128112,0.139981,0.004322
10000,0.312320,0.126131,0.137732,0.004157
10000,0.292028,0.130048,0.139945,0.005318
10000,0.292474,0.127825,0.140134,0.004153
10000,0.287900,0.126334,0.138448,0.004939
15000,0.660747,0.333901,0.327433,0.006130
15000,0.702581,0.334262,0.318443,0.006302
15000,0.691489,0.304330,0.317549,0.006118
15000,0.694456,0.300485,0.326197,0.006570
15000,0.691684,0.289402,0.325288,0.006150
